Station,Year,mean,min,max
FRA00124,2017,0.02,0.02,0.02
FRA00124,2018,0.02,0.02,0.02
FRA00124,2019,0.02,0.02,0.02
FRA00124,2020,0.02,0.02,0.02
FRA00124,2021,0.02,0.02,0.02
FRA00125,2016,0.0205,0.02,0.026
FRA00125,2017,0.02,0.02,0.02
FRA00125,2018,0.025627272727272724,0.02,0.0819
FRA00125,2019,0.0204,0.02,0.0248
FRA00125,2020,0.02,0.02,0.02
FRA00125,2021,0.020183333333333334,0.02,0.0222
FRA00126,2016,0.02475833333333333,0.02,0.0484
FRA00126,2017,0.021372727272727272,0.02,0.0286
FRA00126,2018,0.028566666666666667,0.02,0.0507
FRA00126,2019,0.022025,0.02,0.029
FRA00126,2020,0.021025000000000002,0.02,0.0293
FRA00126,2021,0.02211666666666667,0.02,0.0334
FRA00127,2016,0.021158333333333335,0.02,0.032
FRA00127,2017,0.02305,0.02,0.048
FRA00127,2018,0.020091666666666667,0.02,0.0207
FRA00127,2019,0.022658333333333336,0.02,0.04
FRA00127,2020,0.020341666666666668,0.02,0.0224
FRA00127,2021,0.03361666666666666,0.02,0.105
FRA00128,2016,0.02,0.02,0.02
FRA00128,2017,0.02016153846153846,0.02,0.0226
FRA00128,2018,0.019999999999999997,0.02,0.02
FRA00128,2019,0.02,0.02,0.02
FRA00128,2020,0.020360714285714288,0.02,0.0301
FRA00128,2021,0.02,0.02,0.02
FRA00132,2016,0.0010833333333333335,0.001,0.002
FRA00132,2017,0.0010833333333333335,0.001,0.002
FRA00132,2018,0.0013333333333333333,0.001,0.003
FRA00132,2019,0.001,0.001,0.001
FRA00132,2021,0.0010833333333333335,0.001,0.002
FRA00133,2016,0.001,0.001,0.001
FRA00133,2017,0.001,0.001,0.001
FRA00133,2018,0.001,0.001,0.001
FRA00133,2019,0.001,0.001,0.001
FRA00133,2021,0.001,0.001,0.001
FRA00134,2016,0.0333,0.0333,0.0333
FRA00135,2016,0.0333,0.0333,0.0333
FRA00136,2016,0.0333,0.0333,0.0333
FRA00137,2016,0.0333,0.0333,0.0333
FRA00138,2016,0.0333,0.0333,0.0333
FRA00139,2016,0.0333,0.0333,0.0333
FRA00140,2016,0.0333,0.0333,0.0333
FRA00141,2016,0.0333,0.0333,0.0333
FRA00142,2016,0.0333,0.0333,0.0333
FRA00143,2016,0.0333,0.0333,0.0333
FRA00144,2016,0.0333,0.0333,0.0333
FRA00145,2016,0.0333,0.0333,0.0333
FRA00146,2016,0.0333,0.0333,0.0333
FRA00147,2016,0.1,0.1,0.1
FRA00147,2018,0.001,0.001,0.001
FRA00148,2016,0.1,0.1,0.1
FRA00148,2018,0.001,0.001,0.001
FRA00149,2016,0.1,0.1,0.1
FRA00149,2018,0.001,0.001,0.001
FRA00150,2016,0.1,0.1,0.1
FRA00150,2018,0.001,0.001,0.001
FRA00151,2016,0.1,0.1,0.1
FRA00151,2018,0.0012727272727272728,0.001,0.002
FRA00152,2016,0.1,0.1,0.1
FRA00152,2018,0.001090909090909091,0.001,0.002
FRA00153,2016,0.1,0.1,0.1
FRA00153,2018,0.001090909090909091,0.001,0.002
FRA00154,2016,0.1,0.1,0.1
FRA00154,2018,0.001,0.001,0.001
FRA00155,2016,0.10000000000000002,0.1,0.1
FRA00155,2018,0.001,0.001,0.001
HRV00003,2017,0.00051,0.00051,0.00051
HRV00003,2021,0.00049,0.00049,0.00049
HRV00008,2016,0.0010533333333333332,0.00104,0.0012
HRV00008,2019,0.00025,0.00025,0.00025
HRV00008,2021,0.00049,0.00049,0.00049
HRV00010,2016,0.00104,0.00104,0.00104
HRV00010,2019,0.00025,0.00025,0.00025
HRV00010,2021,0.0007375,0.00049,0.0026
HRV00011,2017,0.00051,0.00051,0.00051
HRV00011,2019,0.00025,0.00025,0.00025
HRV00011,2021,0.00049,0.00049,0.00049
HRV00012,2017,0.00051,0.00051,0.00051
HRV00012,2019,0.00035600000000000003,0.00025,0.00119
HRV00012,2021,0.0007741666666666666,0.00049,0.0039
HRV00013,2018,0.000254,0.00025,0.00027
HRV00013,2019,0.000259,0.00025,0.00034
HRV00013,2021,0.00049,0.00049,0.00049
HRV00014,2017,0.00051,0.00051,0.00051
HRV00014,2019,0.00025,0.00025,0.00025
HRV00014,2021,0.00049,0.00049,0.00049
HRV00015,2017,0.00051,0.00051,0.00051
HRV00015,2019,0.00025,0.00025,0.00025
HRV00015,2021,0.00049,0.00049,0.00049
HRV00016,2016,0.0010408333333333333,0.00104,0.00105
HRV00016,2019,0.00025,0.00025,0.00025
HRV00016,2021,0.00049,0.00049,0.00049
HRV00017,2016,0.00104,0.00104,0.00104
HRV00017,2019,0.00025,0.00025,0.00025
HRV00017,2021,0.00049,0.00049,0.00049
HRV00018,2017,0.00051,0.00051,0.00051
HRV00018,2019,0.00025,0.00025,0.00025
HRV00018,2021,0.0005466666666666667,0.00049,0.00117
HRV00019,2018,0.00025,0.00025,0.00025
HRV00019,2019,0.00025,0.00025,0.00025
HRV00019,2021,0.00049,0.00049,0.00049
HRV00020,2018,0.000298,0.00025,0.00049
HRV00020,2019,0.00025,0.00025,0.00025
HRV00020,2021,0.00049,0.00049,0.00049
HRV00021,2016,0.0011009090909090908,0.00104,0.00171
HRV00021,2019,0.00025,0.00025,0.00025
HRV00021,2021,0.00049,0.00049,0.00049
HRV00024,2016,0.00104,0.00104,0.00104
HRV00024,2019,0.00025,0.00025,0.00025
HRV00024,2021,0.00049,0.00049,0.00049
HRV00025,2016,0.00104,0.00104,0.00104
HRV00025,2019,0.081225,0.00025,0.81
HRV00025,2021,0.00049,0.00049,0.00049
HRV00026,2018,0.0002975,0.00025,0.00044
HRV00026,2019,0.00025,0.00025,0.00025
HRV00026,2021,0.00049,0.00049,0.00049
HRV00027,2016,0.0011033333333333331,0.00104,0.0018
HRV00027,2019,0.00025,0.00025,0.00025
HRV00027,2021,0.00049,0.00049,0.00049
HRV00029,2016,0.0010558333333333333,0.00104,0.00123
HRV00029,2019,0.00029,0.00025,0.00065
HRV00029,2021,0.0005991666666666667,0.00049,0.0018
HRV00030,2018,0.00029,0.00025,0.00045
HRV00030,2019,0.00025,0.00025,0.00025
HRV00030,2021,0.00049,0.00049,0.00049
HRV00031,2018,0.00027400000000000005,0.00025,0.00037
HRV00031,2019,0.00025,0.00025,0.00025
HRV00031,2021,0.00049,0.00049,0.00049
HRV00033,2018,0.00028166666666666666,0.00025,0.00044
HRV00033,2019,0.013925000000000002,0.00025,0.137
HRV00033,2021,0.00049,0.00049,0.00049
HRV00038,2017,0.00051,0.00051,0.00051
HRV00038,2019,0.00025,0.00025,0.00025
HRV00038,2021,0.00049,0.00049,0.00049
HRV00042,2016,0.00104,0.00104,0.00104
HRV00042,2019,0.00025,0.00025,0.00025
HRV00042,2021,0.00049,0.00049,0.00049
HRV00043,2016,0.0010766666666666665,0.00104,0.00148
HRV00043,2019,0.00025,0.00025,0.00025
HRV00043,2021,0.00049,0.00049,0.00049
IRL00006,2021,0.00033250000000000006,0.00013,0.00073
IRL00007,2021,0.0003090909090909091,0.00013,0.00097
IRL00038,2021,0.0005425,0.00013,0.00096
IRL00057,2019,0.006411999999999999,0.00013,0.00843
IRL00068,2021,0.00017416666666666665,0.00013,0.00024
IRL00070,2021,0.0001375,0.00013,0.00019
IRL00073,2021,0.0004558333333333333,0.00013,0.00098
IRL00075,2021,0.0001708333333333333,0.00013,0.00033
IRL00077,2021,0.0003625,0.00013,0.0007
IRL00078,2021,0.0006241666666666666,0.00034,0.00094
IRL00120,2019,0.00023166666666666667,0.00013,0.00038
IRL00123,2019,0.0003133333333333333,0.00013,0.00052
IRL00124,2019,0.00042833333333333335,0.00017,0.00097
IRL00127,2019,0.00016666666666666666,0.00013,0.00027
IRL00134,2020,0.0001909090909090909,0.00013,0.0004
IRL00155,2019,0.000155,0.00013,0.00022
IRL00156,2019,0.000175,0.00013,0.0004
IRL00165,2021,0.00013,0.00013,0.00013
IRL00168,2019,0.00015999999999999999,0.00013,0.00024
IRL00169,2019,0.0004516666666666667,0.0003,0.00063
ITA00079,2018,5e-05,5e-05,5e-05
ITA00081,2020,0.02,0.02,0.02
ITA00081,2021,0.02,0.02,0.02
ITA00082,2018,5e-05,5e-05,5e-05
ITA00082,2020,0.02,0.02,0.02
ITA00082,2021,0.02,0.02,0.02
ITA00083,2016,0.05000000000000001,0.05,0.05
ITA00083,2017,0.05,0.05,0.05
ITA00083,2018,5e-05,5e-05,5e-05
ITA00083,2019,2.0,2.0,2.0
ITA00083,2020,0.02,0.02,0.02
ITA00083,2021,0.02,0.02,0.02
ITA00084,2012,0.05,0.05,0.05
ITA00084,2015,5.5,5.0,9.0
ITA00084,2016,0.05000000000000001,0.05,0.05
ITA00084,2017,0.05,0.05,0.05
ITA00084,2018,5e-05,5e-05,5e-05
ITA00084,2019,2.0,2.0,2.0
ITA00084,2020,0.02,0.02,0.02
ITA00084,2021,0.02,0.02,0.02
ITA00085,2016,0.05000000000000001,0.05,0.05
ITA00085,2017,0.05,0.05,0.05
ITA00085,2018,5e-05,5e-05,5e-05
ITA00085,2019,2.0,2.0,2.0
ITA00085,2020,0.02,0.02,0.02
ITA00085,2021,0.02,0.02,0.02
ITA00086,2018,5e-05,5e-05,5e-05
ITA00086,2020,0.02,0.02,0.02
ITA00086,2021,0.02,0.02,0.02
ITA00087,2020,0.02,0.02,0.02
ITA00087,2021,0.02,0.02,0.02
ITA00088,2012,0.05,0.05,0.05
ITA00088,2015,5.0,5.0,5.0
ITA00088,2016,0.05,0.05,0.05
ITA00088,2017,0.05000000000000001,0.05,0.05
ITA00088,2018,5e-05,5e-05,5e-05
ITA00088,2019,2.0,2.0,2.0
ITA00088,2020,0.02,0.02,0.02
ITA00088,2021,0.02,0.02,0.02
ITA00090,2016,0.05000000000000001,0.05,0.05
ITA00090,2017,0.05,0.05,0.05
ITA00090,2018,5e-05,5e-05,5e-05
ITA00090,2019,2.0,2.0,2.0
ITA00090,2020,0.02,0.02,0.02
ITA00090,2021,0.02,0.02,0.02
